Date,Regime,AccelZ,DivZ,SignalStrength
2020-05-01,FRAGILE_DIV,0.0,2.51,2.51
2020-05-04,FRAGILE_BOTH,1.437,1.7822,1.7822
2020-05-05,STABLE,0.0,0.8187,0.8187
2020-05-06,FRAGILE_ACCEL,1.5346,0.9157,1.5346
2020-05-07,STABLE,0.0,0.0,0.0
2020-05-08,STABLE,0.3844,0.1918,0.3844
2020-05-11,FRAGILE_DIV,0.1477,1.0894,1.0894
2020-05-12,STABLE,0.0,0.0704,0.0704
2020-05-13,STABLE,0.0,0.0,0.0
2020-05-14,FRAGILE_DIV,0.0,5.5778,5.5778
2020-05-15,STABLE,0.0,0.9894,0.9894
2020-05-18,STABLE,0.093,0.0,0.093
2020-05-19,FRAGILE_BOTH,3.4827,1.7023,3.4827
2020-05-20,STABLE,0.0,0.0,0.0
2020-05-21,FRAGILE_DIV,0.0,1.1246,1.1246
2020-05-22,STABLE,0.0,0.0,0.0
2020-05-25,FRAGILE_DIV,0.0,1.0919,1.0919
2020-05-26,STABLE,0.0,0.0,0.0
2020-05-27,STABLE,0.0,0.6663,0.6663
2020-05-28,FRAGILE_DIV,0.0,3.0773,3.0773
2020-05-29,FRAGILE_DIV,0.0,1.5608,1.5608
2020-06-01,FRAGILE_DIV,0.0,1.6005,1.6005
2020-06-02,STABLE,0.0,0.9505,0.9505
2020-06-03,FRAGILE_DIV,0.0,2.6225,2.6225
2020-06-04,STABLE,0.0,0.7712,0.7712
2020-06-05,STABLE,0.5136,0.566,0.566
2020-06-08,STABLE,0.0,0.4493,0.4493
2020-06-09,FRAGILE_ACCEL,1.1925,0.0,1.1925
2020-06-10,STABLE,0.8868,0.6771,0.8868
2020-06-11,FRAGILE_DIV,0.0,4.6648,4.6648
2020-06-12,FRAGILE_DIV,0.1871,1.839,1.839
2020-06-15,STABLE,0.0,0.0,0.0
2020-06-16,FRAGILE_DIV,0.9512,2.2567,2.2567
2020-06-17,FRAGILE_BOTH,2.5492,1.9236,2.5492
2020-06-18,STABLE,0.0,0.4316,0.4316
2020-06-19,STABLE,0.0,0.0,0.0
2020-06-22,STABLE,0.0,0.0,0.0
2020-06-23,STABLE,0.0,0.0,0.0
2020-06-24,FRAGILE_BOTH,2.3387,1.4883,2.3387
2020-06-25,STABLE,0.0,0.0,0.0
2020-06-26,FRAGILE_ACCEL,3.0518,0.0,3.0518
2020-06-29,FRAGILE_BOTH,1.201,1.6816,1.6816
